Lat,Long
37.759337,-122.414862
37.773187,-122.421922
37.773043,-122.422118
37.773007,-122.422165
37.772979,-122.422219
37.772865,-122.422394
37.772779,-122.422503
37.772676,-122.422701
37.772606,-122.422806
37.772566,-122.422840
37.772508,-122.422852
37.772387,-122.423011
37.772099,-122.423328
37.771704,-122.423783
37.771481,-122.424081
37.771400,-122.424179
37.771352,-122.424220
37.771248,-122.424327
37.770904,-122.424781
37.770520,-122.425283
37.770337,-122.425553
37.770128,-122.425832
37.769756,-122.426331
37.769300,-122.426902
37.769132,-122.427065
37.769092,-122.427103
37.768979,-122.427172
37.768595,-122.427634
37.768372,-122.427913
37.768337,-122.427961
37.768244,-122.428138
37.767942,-122.428581
37.767482,-122.429094
37.767031,-122.429606
37.766732,-122.429986
37.766680,-122.430058
37.766633,-122.430109
37.766580,-122.430211
37.766367,-122.430594
37.765910,-122.431137
37.765353,-122.431806
37.764962,-122.432298
37.764868,-122.432486
37.764518,-122.432913
37.763435,-122.434173
37.762847,-122.434953
37.762291,-122.435935
37.762224,-122.436074
37.761957,-122.436892
37.761652,-122.438886
37.761284,-122.439955
37.761210,-122.440068
37.761064,-122.440720
37.761040,-122.441411
37.761048,-122.442324
37.760851,-122.443118
37.759977,-122.444591
37.759913,-122.444698
37.759623,-122.445065
37.758902,-122.445158
37.758428,-122.444570
37.757687,-122.443340
37.757583,-122.443240
37.757019,-122.442787
37.756603,-122.442322
37.756380,-122.441602
37.755790,-122.441382
37.754493,-122.442133
37.754361,-122.442206
37.753719,-122.442650
37.753096,-122.442915
37.751617,-122.443211
37.751496,-122.443246
37.750733,-122.443428
37.750126,-122.443536
37.750103,-122.443784
37.750390,-122.444010
37.750448,-122.444013
37.750536,-122.444040
37.750493,-122.444141
37.790859,-122.402808
37.790864,-122.402768
37.790995,-122.402539
37.791148,-122.402172
37.791385,-122.401312
37.791405,-122.400776
37.791288,-122.400528
37.791113,-122.400441
37.791027,-122.400395
37.791094,-122.400311
37.791211,-122.400183
37.791060,-122.399334
37.790538,-122.398718
37.790095,-122.398086
37.789644,-122.397360
37.789254,-122.396844
37.788855,-122.396397
37.788483,-122.395963
37.788015,-122.395365
37.787558,-122.394735
37.787472,-122.394323
37.787630,-122.394025
37.787767,-122.393987
37.787486,-122.394452
37.786977,-122.395043
37.786583,-122.395552
37.786540,-122.395610
37.786516,-122.395659
37.786378,-122.395707
37.786044,-122.395362
37.785598,-122.394715
37.785321,-122.394361
37.785207,-122.394236
37.785751,-122.394062
37.785996,-122.393881
37.786092,-122.393830
37.785998,-122.393899
37.785114,-122.394365
37.785022,-122.394441
37.784823,-122.394635
37.784719,-122.394629
37.785069,-122.394176
37.785500,-122.393650
37.785770,-122.393291
37.785839,-122.393159
37.782651,-122.400628
37.782616,-122.400599
37.782702,-122.400470
37.782915,-122.400192
37.783137,-122.399887
37.783414,-122.399519
37.783629,-122.399237
37.783688,-122.399157
37.783716,-122.399106
37.783798,-122.399072
37.783997,-122.399186
37.784271,-122.399538
37.784577,-122.399948
37.784828,-122.400260
37.784999,-122.400477
37.785113,-122.400651
37.785155,-122.400703
37.785192,-122.400749
37.785278,-122.400839
37.785387,-122.400857
37.785478,-122.400890
37.785526,-122.401022
37.785598,-122.401148
37.785631,-122.401202
37.785660,-122.401267
37.803986,-122.426035
37.804102,-122.425089
37.804211,-122.424156
37.803861,-122.423385
37.803151,-122.423214
37.802439,-122.423077
37.801740,-122.422905
37.801069,-122.422785
37.800345,-122.422649
37.799633,-122.422603
37.799750,-122.421700
37.799885,-122.420854
37.799209,-122.420607
37.795656,-122.400395
37.795203,-122.400304
37.778738,-122.415584
37.778812,-122.415189
37.778824,-122.415092
37.778833,-122.414932
37.778834,-122.414898
37.778740,-122.414757
37.778501,-122.414433
37.778182,-122.414026
37.777851,-122.413623
37.777486,-122.413166
37.777109,-122.412674
37.776743,-122.412186
37.776440,-122.411800
37.776295,-122.411614
37.776158,-122.411440
37.775806,-122.410997
37.775422,-122.410484
37.775126,-122.410087
37.775012,-122.409854
37.775164,-122.409573
37.775498,-122.409180
37.775868,-122.408730
37.776256,-122.408240
37.776519,-122.407928
37.776539,-122.407904
37.776595,-122.407854
37.776853,-122.407547
37.777234,-122.407087
37.777644,-122.406558
37.778066,-122.406017
37.778468,-122.405499
37.778866,-122.404995
37.779295,-122.404455
37.779695,-122.403950
37.779982,-122.403584
37.780295,-122.403223
37.780664,-122.402766
37.781043,-122.402288
37.781399,-122.401823
37.781727,-122.401407
37.781853,-122.401247
37.781894,-122.401195
37.782076,-122.400977
37.782338,-122.400603
37.782666,-122.400133
37.783048,-122.399634
37.783450,-122.399198
37.783791,-122.398998
37.784177,-122.398959
37.784388,-122.398971
37.784404,-122.399128
37.784586,-122.399524
37.784835,-122.399927
37.785116,-122.400307
37.785282,-122.400539
37.785346,-122.400692
37.765769,-122.407201
37.765790,-122.407414
37.765802,-122.407755
37.765791,-122.408219
37.765763,-122.408759
37.765726,-122.409348
37.765716,-122.409882
37.765708,-122.410202
37.765705,-122.410253
37.765707,-122.410369
37.765692,-122.410720
37.765699,-122.411215
37.765687,-122.411789
37.765666,-122.412373
37.765598,-122.412883
37.765543,-122.413039
37.765532,-122.413125
37.765500,-122.413553
37.765448,-122.414053
37.765388,-122.414645
37.765323,-122.415250
37.765303,-122.415847
37.765251,-122.416439
37.765204,-122.417020
37.765172,-122.417556
37.765164,-122.418075
37.765153,-122.418618
37.765136,-122.419112
37.765129,-122.419378
37.765119,-122.419481
37.765100,-122.419852
37.765083,-122.420349
37.765045,-122.420930
37.764992,-122.421481
37.764980,-122.421695
37.764993,-122.421843
37.764986,-122.422255
37.764975,-122.422823
37.764939,-122.423411
37.764902,-122.424014
37.764853,-122.424576
37.764826,-122.424922
37.764796,-122.425375
37.764782,-122.425869
37.764768,-122.426089
37.764766,-122.426117
37.764723,-122.426276
37.764681,-122.426649
37.782012,-122.404200
37.781574,-122.404911
37.781055,-122.405597
37.780479,-122.406341
37.779996,-122.406939
37.779459,-122.407613
37.761344,-122.406215
37.760556,-122.406495
37.759732,-122.406484
37.758910,-122.406228
37.758182,-122.405695
37.757676,-122.405118
37.757039,-122.404346
37.756335,-122.403719
37.755503,-122.403406
37.754665,-122.403242
37.753837,-122.403172
37.752986,-122.403112
37.751266,-122.403355
37.765204,-122.417020
37.765172,-122.417556
37.765164,-122.418075
37.765153,-122.418618
37.804211,-122.424156
37.803861,-122.423385
37.803151,-122.423214
37.802439,-122.423077
37.801740,-122.422905
37.801069,-122.422785
37.800345,-122.422649
37.799633,-122.422603
37.799750,-122.421700
37.799885,-122.420854
37.799209,-122.420607
37.795656,-122.400395
37.795203,-122.400304
37.778738,-122.415584
37.778812,-122.415189
37.778824,-122.415092
37.778833,-122.414932
37.778834,-122.414898
37.778740,-122.414757
37.778501,-122.414433
37.778182,-122.414026
37.777851,-122.413623
37.777486,-122.413166
37.777109,-122.412674
37.776743,-122.412186
37.776440,-122.411800
37.776295,-122.411614
37.776158,-122.411440
37.775806,-122.410997
37.775422,-122.410484
37.775126,-122.410087
37.775012,-122.409854
37.775164,-122.409573
37.775498,-122.409180
37.775868,-122.408730
37.776256,-122.408240
37.776519,-122.407928
37.776539,-122.407904
37.776595,-122.407854
37.776853,-122.407547
37.777234,-122.407087
37.777644,-122.406558
37.778066,-122.406017
37.778468,-122.405499
37.778866,-122.404995
37.779295,-122.404455
37.779695,-122.403950
37.779982,-122.403584
37.780295,-122.403223
37.780664,-122.402766
37.781043,-122.402288
37.781399,-122.401823
37.781727,-122.401407
37.781853,-122.401247
37.781894,-122.401195
37.782076,-122.400977
37.782338,-122.400603
37.782666,-122.400133
37.783048,-122.399634
37.783450,-122.399198
37.783791,-122.398998
37.784177,-122.398959
37.784388,-122.398971
37.784404,-122.399128
37.784586,-122.399524
37.784835,-122.399927
37.785116,-122.400307
37.785282,-122.400539
37.785346,-122.400692
37.765769,-122.407201
37.765790,-122.407414
37.765802,-122.407755
37.765791,-122.408219
37.765763,-122.408759
37.765726,-122.409348
37.765716,-122.409882
37.765708,-122.410202
37.765705,-122.410253
37.765707,-122.410369
37.765692,-122.410720
37.765699,-122.411215
37.765687,-122.411789
37.765666,-122.412373
37.765598,-122.412883
37.765543,-122.413039
37.765532,-122.413125
37.765500,-122.413553
37.765448,-122.414053
37.765388,-122.414645
37.765323,-122.415250
37.765303,-122.415847
37.765251,-122.416439
37.765204,-122.417020
37.765172,-122.417556
37.765164,-122.418075
37.765153,-122.418618
37.765136,-122.419112
37.765129,-122.419378
37.765119,-122.419481
37.765100,-122.419852
37.765083,-122.420349
37.765045,-122.420930
37.764992,-122.421481
37.764980,-122.421695
37.764993,-122.421843
37.764986,-122.422255
37.764975,-122.422823
37.764939,-122.423411
37.764902,-122.424014
37.764853,-122.424576
37.764826,-122.424922
37.764796,-122.425375
37.764782,-122.425869
37.764768,-122.426089
37.764766,-122.426117
37.764723,-122.426276
37.764681,-122.426649
37.782012,-122.404200
37.781574,-122.404911
37.781055,-122.405597
37.780479,-122.406341
37.779996,-122.406939
37.779459,-122.407613
37.761344,-122.406215
37.760556,-122.406495
37.759732,-122.406484
37.758910,-122.406228
37.758182,-122.405695
37.757676,-122.405118
37.757039,-122.404346
37.756335,-122.403719
37.755503,-122.403406
37.754665,-122.403242
37.753837,-122.403172
37.752986,-122.403112
37.751266,-122.403355
37.765204,-122.417020
37.765172,-122.417556
37.765164,-122.418075
37.765153,-122.418618
37.804211,-122.424156
37.803861,-122.423385
37.803151,-122.423214
37.802439,-122.423077
37.801740,-122.422905
37.801069,-122.422785
37.800345,-122.422649
37.799633,-122.422603
37.799750,-122.421700
37.799885,-122.420854
37.799209,-122.420607
37.795656,-122.400395
37.795203,-122.400304
37.778738,-122.415584
37.778812,-122.415189
37.778824,-122.415092
37.778833,-122.414932
37.778834,-122.414898
37.778740,-122.414757
37.778501,-122.414433
37.778182,-122.414026
37.777851,-122.413623
37.777486,-122.413166
37.777109,-122.412674
37.776743,-122.412186
37.776440,-122.411800
37.776295,-122.411614
37.776158,-122.411440
37.775806,-122.410997
37.775422,-122.410484
37.775126,-122.410087
37.775012,-122.409854
37.775164,-122.409573
37.775498,-122.409180
37.775868,-122.408730
37.776256,-122.408240
37.776519,-122.407928
37.776539,-122.407904
37.776595,-122.407854
37.776853,-122.407547
37.777234,-122.407087
37.777644,-122.406558
37.778066,-122.406017
37.778468,-122.405499
37.778866,-122.404995
37.779295,-122.404455
37.779695,-122.403950
37.779982,-122.403584
37.780295,-122.403223
37.780664,-122.402766
37.781043,-122.402288
37.781399,-122.401823
37.781727,-122.401407
37.781853,-122.401247
37.781894,-122.401195
37.782076,-122.400977
37.782338,-122.400603
37.782666,-122.400133
37.783048,-122.399634
37.783450,-122.399198
37.783791,-122.398998
37.784177,-122.398959
37.784388,-122.398971
37.784404,-122.399128
37.784586,-122.399524
37.784835,-122.399927
37.785116,-122.400307
37.785282,-122.400539
37.785346,-122.400692
37.765769,-122.407201
37.765790,-122.407414
37.765802,-122.407755
37.765791,-122.408219
37.765763,-122.408759
37.765726,-122.409348
37.765716,-122.409882
37.765708,-122.410202
37.765705,-122.410253
37.765707,-122.410369
37.765692,-122.410720
37.765699,-122.411215
37.765687,-122.411789
37.765666,-122.412373
37.765598,-122.412883
37.765543,-122.413039
37.765532,-122.413125
37.765500,-122.413553
37.765448,-122.414053
37.765388,-122.414645
37.765323,-122.415250
37.765303,-122.415847
37.765251,-122.416439
37.765204,-122.417020
37.765172,-122.417556
37.765164,-122.418075
37.765153,-122.418618
37.765136,-122.419112
37.765129,-122.419378
37.765119,-122.419481
37.765100,-122.419852
37.765083,-122.420349
37.765045,-122.420930
37.764992,-122.421481
37.764980,-122.421695
37.764993,-122.421843
37.764986,-122.422255
37.764975,-122.422823
37.764939,-122.423411
37.764902,-122.424014
37.764853,-122.424576
37.764826,-122.424922
37.764796,-122.425375
37.764782,-122.425869
37.764768,-122.426089
37.764766,-122.426117
37.764723,-122.426276
37.764681,-122.426649
37.782012,-122.404200
37.781574,-122.404911
37.781055,-122.405597
37.780479,-122.406341
37.779996,-122.406939
37.779459,-122.407613
37.761344,-122.406215
37.760556,-122.406495
37.759732,-122.406484
37.758910,-122.406228
37.758182,-122.405695
37.757676,-122.405118
37.757039,-122.404346
37.756335,-122.403719
37.755503,-122.403406
37.754665,-122.403242
37.753837,-122.403172
37.752986,-122.403112
37.751266,-122.403355
37.765204,-122.417020
37.765172,-122.417556
37.765164,-122.418075
37.765153,-122.418618
37.765136,122.419112
37.765129,122.419378
37.765119,122.419481
37.765100,122.419852
37.765083,122.420349
37.765045,122.420930
37.764992,122.421481
37.764980,122.421695
37.764993,122.421843
37.764986,122.422255
37.764975,122.422823
37.764939,122.423411
37.764902,122.424014
37.764853,122.424576
37.764826,122.424922
37.764796,122.425375
37.764782,122.425869
37.764768,122.426089
37.764766,122.426117
37.764723,122.426276
37.764681,122.426649
37.782012,122.404200
37.781574,122.404911
37.781055,122.405597
37.780479,122.406341
37.779996,122.406939
37.779459,122.407613
37.761344,122.406215
37.760556,122.406495
37.759732,122.406484
37.758910,122.406228
37.758182,122.405695
37.757676,122.405118
37.757039,122.404346
37.756335,122.403719
37.755503,122.403406
37.754665,122.403242
37.753837,122.403172
37.752986,122.403112
37.751266,122.403355
